NASLOV FILMOV;ZANR;BUDGET;BOX OFFICE ($);KRAJ;action;mystery;sci-fi;comedy;romance;drama;thriller;biography;adventure;crime;animation;family;musical;fantasy;horror;history;sport;western;music;war
The Wolfman;drama/horror/thriller;150000000;139789765;England;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Tucker and Dale vs. Evil;comedy/horror;5000000;5476793;Canada;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Flipped;comedy/drama/romance;14000000;1755212;United States;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Resident Evil: Afterlife;action/adventure/horror;60000000;296221663;Canada;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Centurion;action/adventure/drama;12000000;6168898;England;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Black Death;action/drama/horror;0;0;Germany;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Rabbit Hole;drama;5000000;5143154;United States;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Takers;action/crime/thriller;20000000;69055695;United States;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Charlie St. Cloud;drama/fantasy/romance;44000000;48190704;Canada;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Knight and Day;action/comedy/romance;117000000;261900000;United States;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Piranha 3D;comedy/horror;24000000;83188165;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Super;comedy/drama;2500000;422618;United States;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wall Street: Money Never Sleeps;drama;70000000;134748021;United States;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Switch;comedy/drama/romance;19000000;49830607;United States;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I'm Still Here;comedy/drama/music;0;565149;United States;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Beginners;comedy/drama/romance;3200000;14311701;United States;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diary of a Wimpy Kid;comedy/family;15000000;75700000;Canada;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
